rental	Album	TychoBoy
3.00 stars	The 90 Day Men - To Everybody	3.00 stars
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Bark Psychosis - Hex	4.50 stars
4.00 stars	The Beatles - Abbey Road	4.50 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
4.00 stars	black midi - Schlagenheim	5.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	3.50 stars
3.50 stars	Cheater Slicks - Walk Into the Sea	4.00 stars
2.50 stars	Circle Takes the Square - As the Roots Undo	3.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Comus - First Utterance	4.00 stars
3.50 stars	The Damned - Damned Damned Damned	4.50 stars
4.00 stars	Miles Davis - Get Up With It	4.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	4.50 stars
4.00 stars	Descendents - Milo Goes to College	4.50 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	4.00 stars
4.00 stars	The Dicks - The Dicks Hate the Police / Lifetime Problems / All Night Fever	5.00 stars
3.50 stars	Aaron Dilloway - Modern Jester	4.00 stars
3.50 stars	Dinosaur Jr. - Beyond	4.00 stars
3.50 stars	Dirty Three - Ocean Songs	4.50 stars
4.00 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	4.00 stars
3.50 stars	The Doors - The Doors	4.00 stars
3.50 stars	The Drones - Feelin Kinda Free	4.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	4.00 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.00 stars
4.00 stars	The Fall - Slates	4.50 stars
3.50 stars	Flipper - Album: Generic Flipper	4.50 stars
3.50 stars	Fugazi - Repeater	4.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	2.50 stars
4.50 stars	Hella - Hold Your Horse Is	4.50 stars
3.50 stars	Hot Snakes - Jericho Sirens	4.00 stars
4.00 stars	Hüsker Dü - New Day Rising	5.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	4.00 stars
4.00 stars	Love - Forever Changes	4.50 stars
2.50 stars	The Mars Volta - Amputechture	2.50 stars
3.50 stars	Curtis Mayfield - Superfly	4.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.00 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.50 stars
3.50 stars	Junior Wells' Chicago Blues Band - Hoodoo Man Blues	4.50 stars
3.00 stars	The Byrds - Younger Than Yesterday	4.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.00 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.50 stars
4.00 stars	The Zombies - Odessey and Oracle	4.50 stars
3.50 stars	Tim Buckley - Happy Sad	4.50 stars
3.50 stars	Miles Davis - In a Silent Way	4.50 stars
3.50 stars	The Kinks - Arthur or the Decline and Fall of the British Empire	4.50 stars
4.00 stars	Exuma - Exuma	5.00 stars
3.00 stars	Crosby, Stills, Nash & Young - Déjà vu	4.00 stars
3.50 stars	Nick Drake - Bryter Layter	4.00 stars
3.50 stars	Chico Buarque - Construção	4.50 stars
3.50 stars	T. Rex - Electric Warrior	4.50 stars
4.00 stars	Fela & The Africa 70 - Roforofo Fight	4.50 stars
4.00 stars	Nick Drake - Pink Moon	4.50 stars
4.00 stars	Milton Nascimento & Lô Borges - Clube da Esquina	4.50 stars
3.50 stars	Steely Dan - Can't Buy a Thrill	4.00 stars
3.50 stars	Lou Reed - Transformer	4.00 stars
3.50 stars	Stevie Wonder - Innervisions	4.00 stars
3.50 stars	Can - Future Days	4.50 stars
3.50 stars	Velvet Underground - 1969 Velvet Underground Live With Lou Reed	4.50 stars
3.50 stars	Eno - Another Green World	4.50 stars
3.50 stars	Thin Lizzy - Jailbreak	4.50 stars
3.50 stars	Kraftwerk - Trans Europa Express	4.50 stars
4.00 stars	Ramones - Rocket to Russia	4.50 stars
4.00 stars	Suicide - Suicide	5.00 stars
4.00 stars	Wire - Chairs Missing	4.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	5.00 stars
3.50 stars	Blondie - Parallel Lines	4.50 stars
4.00 stars	Chrome - Half Machine Lip Moves	4.50 stars
4.00 stars	Black Flag - Nervous Breakdown	5.00 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	4.50 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
4.50 stars	The Slits - Cut	4.50 stars
3.50 stars	The Feelies - Crazy Rhythms	4.00 stars
4.00 stars	X - Los Angeles	5.00 stars
4.00 stars	The Gun Club - Fire of Love	5.00 stars
4.00 stars	This Heat - Deceit	4.50 stars
5.00 stars	Wipers - Over the Edge	4.50 stars
3.50 stars	Violent Femmes - Violent Femmes	4.50 stars
3.50 stars	R.E.M. - Murmur	4.50 stars
4.00 stars	The Smiths - The Smiths	4.00 stars
4.00 stars	Black Flag - My War	5.00 stars
4.50 stars	Meat Puppets - Meat Puppets II	5.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	5.00 stars
4.00 stars	The Replacements - Let It Be	5.00 stars
5.00 stars	Minutemen - Double Nickels on the Dime	5.00 stars
3.50 stars	Tears for Fears - Songs From the Big Chair	3.50 stars
3.50 stars	The Smiths - Meat Is Murder	4.00 stars
4.00 stars	Meat Puppets - Up on the Sun	4.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	5.00 stars
4.50 stars	Dinosaur - You're Living All Over Me	5.00 stars
3.50 stars	Big Black - Songs About Fucking	4.50 stars
3.50 stars	Dinosaur Jr - Bug	4.50 stars
3.50 stars	My Bloody Valentine - Isn't Anything	4.00 stars
4.00 stars	Fushitsusha - 1st	5.00 stars
4.00 stars	NoMeansNo - Wrong	5.00 stars
3.50 stars	The Gories - I Know You Fine, But How You Doin'	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - The Good Son	4.00 stars
3.50 stars	Ride - Nowhere	4.00 stars
4.50 stars	Les Rallizes dénudés - '77 Live	5.00 stars
2.50 stars	Red Hot Chili Peppers - Blood Sugar Sex Magik	3.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.50 stars
4.00 stars	Scratch Acid - The Greatest Gift	4.50 stars
4.00 stars	Talk Talk - Laughing Stock	4.50 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.00 stars
3.00 stars	Rage Against the Machine - Rage Against the Machine	4.00 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
3.00 stars	Eric's Trip - Love Tara	4.00 stars
4.00 stars	Low - I Could Live in Hope	4.50 stars
3.50 stars	Unwound - New Plastic Ideas	4.50 stars
3.50 stars	Nas - Illmatic	4.50 stars
3.00 stars	Sunny Day Real Estate - Diary	4.00 stars
3.50 stars	Kyuss - Kyuss [Welcome to Sky Valley]	4.50 stars
4.00 stars	Sebadoh - Bakesale	4.50 stars
3.50 stars	Pavement - Wowee Zowee	4.00 stars
3.50 stars	Unwound - The Future of What	4.50 stars
3.50 stars	Fugazi - Red Medicine	4.50 stars
3.50 stars	Autechre - Tri repetae	4.50 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.00 stars
3.50 stars	Sixteen Horsepower - Sackcloth 'n' Ashes	4.50 stars
3.00 stars	The Auteurs - After Murder Park	4.00 stars
3.50 stars	Guided by Voices - Under the Bushes Under the Stars	4.00 stars
3.00 stars	Beck - Odelay	4.00 stars
3.50 stars	Swans - Soundtracks for the Blind	4.50 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.00 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.00 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	4.00 stars
3.50 stars	Oxbow - Serenade in Red	4.00 stars
3.00 stars	Björk - Homogenic	4.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.50 stars
3.50 stars	Unwound - Challenge for a Civilized Society	4.50 stars
3.00 stars	AIR - Moon Safari	4.00 stars
3.50 stars	Tortoise - TNT	4.00 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	3.50 stars
4.00 stars	lowercase - The Going Away Present	4.00 stars
3.50 stars	Pavement - Terror Twilight	3.50 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
5.00 stars	Life Without Buildings - Any Other City	5.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	4.00 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	4.00 stars
3.50 stars	Ted Leo / Pharmacists - The Tyranny of Distance	4.00 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	4.00 stars
3.50 stars	Jay Munly - Jimmy Carter Syndrome	4.00 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	3.50 stars
3.00 stars	Sigur Rós - ( )	4.00 stars
3.50 stars	The Microphones - Mount Eerie	4.50 stars
3.00 stars	Cursive - The Ugly Organ	3.50 stars
4.00 stars	Reigning Sound - Too Much Guitar	4.50 stars
4.00 stars	Sufjan Stevens - Illinois	3.50 stars
4.50 stars	Coil - The Ape of Naples	4.00 stars
5.00 stars	J Dilla - Donuts	4.00 stars
3.00 stars	Grizzly Bear - Yellow House	2.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	3.50 stars
3.50 stars	Frustration - Relax	4.00 stars
4.50 stars	Fleet Foxes - Fleet Foxes	4.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	3.00 stars
3.50 stars	Japandroids - Post-Nothing	3.00 stars
3.00 stars	Bill Orcutt - A New Way to Pay Old Debts	4.00 stars
4.00 stars	The Flaming Lips - Embryonic	5.00 stars
3.50 stars	Tyler, the Creator - Bastard	2.50 stars
3.50 stars	Flying Lotus - Cosmogramma	4.00 stars
3.50 stars	Destroyer - Kaputt	3.50 stars
3.50 stars	Frank Ocean - Nostalgia, Ultra.	3.00 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	4.00 stars
4.00 stars	Kendrick Lamar - Section.80	4.00 stars
4.50 stars	The Men - Open Your Heart	4.00 stars
5.00 stars	Parquet Courts - Light Up Gold	4.50 stars
4.00 stars	Grizzly Bear - Shields	3.00 stars
3.00 stars	Fire! Orchestra - Exit!	3.50 stars
4.00 stars	Iceage - You're Nothing	3.00 stars
3.00 stars	Slow Warm Death - Slow Warm Death	3.50 stars
4.00 stars	Melt-Banana - Fetch	4.00 stars
4.00 stars	Ought - More Than Any Other Day	3.00 stars
4.50 stars	Total Control - Typical System	4.00 stars
3.50 stars	Run the Jewels - Run the Jewels 2	4.00 stars
3.50 stars	Lil Ugly Mane - Third Side of Tape	3.50 stars
3.00 stars	Prurient - Frozen Niagara Falls	3.50 stars
3.50 stars	The Avalanches - Wildflower	3.50 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	4.00 stars
3.50 stars	Blanck Mass - World Eater	4.00 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	4.00 stars
4.00 stars	Weed - Born Wrong Love	4.00 stars
3.50 stars	Algiers - The Underside of Power	4.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	4.50 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	4.50 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	4.50 stars
3.00 stars	Sharon Van Etten - Remind Me Tomorrow	3.00 stars
4.00 stars	Weyes Blood - Titanic Rising	4.50 stars
3.50 stars	Lizzo - Cuz I Love You	3.50 stars
3.00 stars	Murmuüre - Murmuüre	3.50 stars
3.00 stars	Natural Snow Buildings - Shadow Kingdom	4.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.00 stars
3.50 stars	The New Pornographers - Twin Cinema	4.50 stars
4.00 stars	Joanna Newsom - Ys	4.00 stars
3.50 stars	Obnox - Louder Space	4.00 stars
3.50 stars	The Olivia Tremor Control - Music From the Unrealized Film Script, Dusk at Cubist Castle	3.50 stars
3.50 stars	Angel Olsen - Half Way Home	3.50 stars
4.00 stars	OutKast - ATLiens	4.50 stars
4.00 stars	Pere Ubu - The Modern Dance	5.00 stars
4.00 stars	Pile - Green and Gray	4.00 stars
4.00 stars	Viet Cong - Cassette	3.50 stars
4.00 stars	Radiohead - Kid A	4.50 stars
4.00 stars	Ramones - Ramones	5.00 stars
3.50 stars	Matana Roberts - Coin Coin Chapter One: Gens de couleur libres	4.50 stars
4.50 stars	Sex Church - 6 Songs by Sex Church	4.00 stars
3.50 stars	Sex Vid - Communal Living	3.50 stars
3.50 stars	Sharp Ends - Sharp Ends	3.00 stars
3.50 stars	Silent Servant - Negative Fascination	4.00 stars
3.50 stars	The Sonic Youth - Sister	4.50 stars
3.50 stars	Sonic Youth - Dirty	4.50 stars
4.00 stars	Steely Dan - Aja	4.00 stars
3.50 stars	Stereolab - Mars Audiac Quintet	3.50 stars
4.50 stars	Total Control - Henge Beat	4.50 stars
3.50 stars	TV on the Radio - Return to Cookie Mountain	4.50 stars
3.50 stars	Unsane - Scattered, Smothered & Covered	4.50 stars
3.50 stars	Various Artists - Anthology of American Folk Music	4.50 stars
4.00 stars	Wand - Golem	4.00 stars
3.50 stars	White Lung - It's the Evil	3.50 stars
4.00 stars	Wipers - Is This Real?	4.50 stars
4.00 stars	Wipers - Youth of America	5.00 stars
4.00 stars	Wipers - Land of the Lost	4.00 stars
4.50 stars	Women - Live on CBC Radio 2009	4.50 stars
4.50 stars	Women - Service Animal / Grey Skies	4.50 stars
rental and TychoBoy disagree: (42)
rental	Album	TychoBoy
3.00 stars	Boredoms - Super æ	4.50 stars
3.50 stars	Boris - flood	5.00 stars
3.00 stars	The Cars - The Cars	4.50 stars
3.00 stars	Dadawah - Peace and Love	4.50 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	5.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	5.00 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	5.00 stars
3.00 stars	Leo Kottke - 6 & 12 String Guitar	4.50 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	5.00 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	5.00 stars
2.50 stars	Led Zeppelin - Led Zeppelin	4.00 stars
3.50 stars	Pharoah Sanders - Karma	5.00 stars
3.00 stars	Frank Zappa - Hot Rats	4.50 stars
3.00 stars	Amon Düül II - Yeti	4.50 stars
3.00 stars	Marvin Gaye - What's Going On	4.50 stars
3.00 stars	Big Star - #1 Record	4.50 stars
3.50 stars	Neil Young - On the Beach	5.00 stars
3.50 stars	Bob Dylan - Blood on the Tracks	5.00 stars
3.00 stars	Patti Smith - Horses	5.00 stars
3.50 stars	Fleetwood Mac - Rumours	5.00 stars
3.00 stars	Elvis Costello - This Year's Model	4.50 stars
3.50 stars	Buzzcocks - Singles Going Steady	5.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	5.00 stars
3.00 stars	Michael Jackson - Thriller	4.50 stars
2.50 stars	The Stone Roses - The Stone Roses	4.00 stars
3.00 stars	The Pharcyde - Bizarre Ride II the Pharcyde	4.50 stars
3.00 stars	Fugazi - In on the Kill Taker	4.50 stars
3.50 stars	Unwound - Repetition	5.00 stars
3.00 stars	Elliott Smith - Either / Or	4.50 stars
3.00 stars	Swans - Swans Are Dead	4.50 stars
3.50 stars	Duster - Stratosphere	5.00 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	4.50 stars
4.00 stars	MGMT - Oracular Spectacular	2.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	5.00 stars
3.50 stars	Frank Ocean - channel ORANGE	5.00 stars
3.00 stars	Kanye West - Yeezus	5.00 stars
3.00 stars	Natalia Lafourcade - Musas Vol. 2	4.50 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	4.50 stars
3.00 stars	Willie Nelson - Red Headed Stranger	5.00 stars
3.00 stars	Public Enemy - It Takes a Nation of Millions to Hold Us Back	5.00 stars
3.50 stars	Sunn O))) - Monoliths & Dimensions	5.00 stars
3.00 stars	The Velvet Underground - Loaded	4.50 stars
