rental	Album	kortann
3.50 stars	Anatol - Fantasy Violence	4.00 stars
3.50 stars	Bad Breeding - Divide	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
3.00 stars	Better Person - It's Only You	3.00 stars
4.00 stars	Chastity Belt - No Regerts	3.00 stars
3.50 stars	Chastity Belt - Chastity Belt	2.50 stars
4.50 stars	Cindy Lee - What's Tonight to Eternity	4.00 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	3.00 stars
3.50 stars	Coil - Musick to Play in the Dark	4.00 stars
4.50 stars	Crack Cloud - Crack Cloud	4.00 stars
4.00 stars	Destruction Unit - Deep Trip	4.00 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	3.50 stars
3.50 stars	Disappears - Pre Language	3.50 stars
3.50 stars	Dry Cleaning - Boundary Road Snacks and Drinks	3.00 stars
3.50 stars	EXEK - Some Beautiful Species Left	3.50 stars
3.00 stars	Grimes - Visions	3.50 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
3.50 stars	Have a Nice Life - Sea of Worry	3.00 stars
3.00 stars	Heavy Lungs - Straight to CD	3.00 stars
4.50 stars	Institute - Subordination	4.00 stars
4.50 stars	Institute - Readjusting the Locks	3.50 stars
3.50 stars	Internazionale - Avatar in Life	3.50 stars
4.00 stars	King Krule - Man Alive!	3.50 stars
4.50 stars	Low Life - Dogging	4.00 stars
3.00 stars	Lumpy and The Dumpers - Those Pickled Fuckers	3.00 stars
3.00 stars	Kali Malone - The Sacrificial Code	3.00 stars
3.50 stars	M.E.S.H. - Damaged Merc	3.50 stars
4.00 stars	Black Sabbath - Paranoid	4.00 stars
4.50 stars	Wire - Pink Flag	4.00 stars
4.00 stars	X - Los Angeles	3.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	4.50 stars
3.50 stars	Cocteau Twins - Treasure	3.50 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	4.50 stars
3.00 stars	The Jesus and Mary Chain - Psychocandy	4.00 stars
3.50 stars	Sonic Youth - EVOL	4.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
2.50 stars	The Stone Roses - The Stone Roses	3.50 stars
3.50 stars	The Cure - Disintegration	3.50 stars
4.50 stars	Slint - Spiderland	4.00 stars
3.50 stars	Nirvana - Nevermind	3.50 stars
3.50 stars	Swirlies - Blonder Tongue Audio Baton	4.50 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
3.50 stars	Low - I Could Live in Hope	3.00 stars
3.50 stars	Portishead - Dummy	4.50 stars
3.00 stars	Slowdive - Pygmalion	4.00 stars
3.50 stars	Sonic Youth - Washing Machine	3.00 stars
3.50 stars	Autechre - Tri repetae	3.50 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.00 stars
3.50 stars	Belle and Sebastian - Tigermilk	3.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.00 stars
3.50 stars	GAS - Zauberberg	4.50 stars
3.50 stars	GAS - Königsforst	4.00 stars
3.00 stars	Sonic Youth - Murray Street	3.00 stars
4.00 stars	Radiohead - In Rainbows	3.50 stars
4.00 stars	Portishead - Third	4.00 stars
4.00 stars	The Soft Moon - The Soft Moon	3.00 stars
4.00 stars	Grouper - A I A: Alien Observer	4.50 stars
3.00 stars	METZ - METZ	3.50 stars
4.00 stars	Dean Blunt - The Redeemer	3.50 stars
3.00 stars	Daniel Avery - Drone Logic	3.50 stars
3.50 stars	HTRK - Psychic 9-5 Club	3.00 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
4.00 stars	Total Control - Typical System	3.50 stars
4.00 stars	Dean Blunt - Black Metal	4.00 stars
3.50 stars	Raspberry Bulbs - Privacy	3.00 stars
3.00 stars	Złota jesień - Girl Nothing	4.00 stars
5.00 stars	Institute - Catharsis	4.00 stars
4.50 stars	Diät - Positive Energy	4.00 stars
4.50 stars	Cindy Lee - Malenkost	4.00 stars
3.50 stars	Total Abuse - Excluded	3.00 stars
3.50 stars	SOPHIE - Product	4.00 stars
4.50 stars	Cindy Lee - Act of Tenderness	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	4.00 stars
3.50 stars	Preoccupations - Preoccupations	3.00 stars
3.50 stars	Carla dal Forno - You Know What It's Like	4.00 stars
3.50 stars	Dedekind Cut - $uccessor	3.50 stars
3.50 stars	Tzusing - 東方不敗	3.50 stars
4.00 stars	Idles - Brutalism	4.00 stars
2.50 stars	JASSS - Weightless	3.50 stars
3.50 stars	METZ - Strange Peace	3.50 stars
4.00 stars	Iglooghost - Neō Wax Bloom	3.50 stars
3.50 stars	M.E.S.H. - Hesaitix	3.50 stars
3.50 stars	The Men - Drift	2.50 stars
3.50 stars	julek ploski - Tesco	4.00 stars
3.50 stars	FACS - Negative Houses	3.00 stars
3.00 stars	Shygirl - Cruel Practice	4.00 stars
3.00 stars	Iglooghost - Clear Tamei	3.00 stars
4.00 stars	Cindy Lee - Model Express	4.50 stars
3.50 stars	Idles - Joy as an Act of Resistance.	3.50 stars
3.50 stars	Yves Tumor - Safe in the Hands of Love	3.00 stars
3.00 stars	Amnesia Scanner - Another Life	3.50 stars
4.50 stars	Dean Blunt - Soul on Fire	3.50 stars
3.00 stars	Felicia Atkinson / Jefre Cantu-Ledesma - Limpid as the Solitudes	4.00 stars
3.00 stars	Celer - Xièxie	3.00 stars
3.50 stars	Black to Comm - Seven Horses for Seven Kings	3.50 stars
3.50 stars	Xiu Xiu - Girl With Basket of Fruit	3.50 stars
4.00 stars	Diät - Positive Disintegration	3.50 stars
4.00 stars	Snapped Ankles - Stunning Luxury	3.00 stars
3.50 stars	Uranium Club - The Cosmo Cleaners	4.00 stars
4.50 stars	Low Life - Downer Edn	3.50 stars
4.00 stars	Housewives - Twilight Splendour	3.50 stars
4.00 stars	Weatherday - Come In	3.50 stars
4.00 stars	black midi - Schlagenheim	3.50 stars
4.50 stars	HTRK - Venus in Leo	3.50 stars
4.00 stars	Girl Band - The Talkies	4.00 stars
4.00 stars	Carla dal Forno - Look Up Sharp	3.50 stars
4.00 stars	Duster - Duster	3.50 stars
4.00 stars	The Garden - Kiss My Super Bowl Ring	4.00 stars
3.50 stars	Nirvana - In utero	4.00 stars
3.50 stars	Nots - 3	3.00 stars
4.00 stars	Ought - Sun Coming Down	3.50 stars
3.00 stars	Patricia - Body Issues	3.50 stars
4.50 stars	PC Worship - Buried Wish	3.50 stars
4.00 stars	Radiohead - Kid A	4.00 stars
4.00 stars	Sex Church - Growing Over	4.00 stars
3.00 stars	Soccer Mommy - Clean	3.50 stars
3.50 stars	SOPHIE - Oil of Every Pearl's Un-Insides	3.50 stars
3.00 stars	Andy Stott - Faith in Strangers	3.50 stars
3.50 stars	Suuns - Zeroes QC	3.50 stars
3.50 stars	Urochromes - Trope House	3.50 stars
3.50 stars	Yves Tumor - Serpent Music	3.00 stars
3.50 stars	Złota jesień - Promyczek (Sprawiedliwość dla psychopatów)	4.00 stars
rental and kortann disagree: (3)
rental	Album	kortann
3.00 stars	Girl Band - Holding Hands With Jamie	4.50 stars
3.00 stars	Złota jesień - w tobie nie jestem sobą	4.50 stars
3.50 stars	Ought - Room Inside the World	2.00 stars