rental	Album	Doccy_N
3.50 stars	Bark Psychosis - Hex	3.50 stars
3.50 stars	William Basinski - The Disintegration Loops III	4.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.00 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.00 stars
3.50 stars	Freak Heat Waves - Bonnie's State of Mind	2.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	3.50 stars
4.00 stars	Philip Glass - Glassworks	4.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.50 stars
3.50 stars	Tim Hecker - Virgins	4.50 stars
3.50 stars	Hellier Ulysses - Ulysses Hellier	2.50 stars
3.50 stars	Joy Division - Closer	4.50 stars
4.00 stars	King Krule - Man Alive!	4.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.50 stars
4.00 stars	Kendrick Lamar - DAMN.	3.00 stars
3.50 stars	Mono No Aware - The Shape of Your Head	2.50 stars
3.50 stars	Miles Davis - Kind of Blue	4.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.00 stars
4.00 stars	John Coltrane - A Love Supreme	4.00 stars
4.00 stars	The Beatles - Revolver	4.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
3.50 stars	Pharoah Sanders - Karma	2.50 stars
3.50 stars	Miles Davis - Bitches Brew	4.00 stars
3.50 stars	Can - Tago Mago	4.50 stars
4.50 stars	Can - Ege bamyası	4.00 stars
3.00 stars	NEU! - NEU! '75	3.50 stars
4.00 stars	Eno - Another Green World	4.00 stars
3.50 stars	Fela Anikulapo Kuti and Afrika 70 - Zombie	3.50 stars
3.50 stars	The Congos - Heart of The Congos	4.00 stars
3.50 stars	Kraftwerk - Trans Europa Express	3.50 stars
3.50 stars	Iggy Pop - The Idiot	4.00 stars
4.00 stars	Joy Division - Unknown Pleasures	5.00 stars
3.50 stars	Talking Heads - Fear of Music	3.00 stars
4.00 stars	Tuxedomoon - Desire	3.50 stars
4.00 stars	This Heat - Deceit	3.50 stars
4.00 stars	Glenn Branca - The Ascension	4.00 stars
3.50 stars	Solid Space - Space Museum	3.50 stars
3.50 stars	Dead Kennedys - Plastic Surgery Disasters	4.00 stars
3.50 stars	Djeli Moussa Diawara - Yasimika	4.50 stars
3.00 stars	New Order - Power, Corruption & Lies	4.00 stars
4.50 stars	Staatsorchester Stuttgart / Lithuanian Chamber Orchestra / The 12 Cellists of the Berlin Philharmonic Orchestra / Dennis Russell Davies / Saulius Sondeckis / Gidon Kremer / Keith Jarrett / Tatjana Grindenko / Alfred Schnittke - Tabula rasa	4.00 stars
3.50 stars	Felt - The Strange Idols Pattern and Other Short Stories	4.00 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.00 stars
4.50 stars	The Bats - Daddy's Highway	4.00 stars
4.50 stars	Slint - Spiderland	5.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.50 stars
3.50 stars	London Sinfonietta / David Zinman / Dawn Upshaw - Symphony No. 3	3.50 stars
3.50 stars	Red House Painters - Down Colorful Hill	3.00 stars
3.00 stars	The Pharcyde - Bizarre Ride II the Pharcyde	4.00 stars
3.00 stars	Seam - The Problem With Me	4.00 stars
3.50 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	4.50 stars
4.00 stars	Disco Inferno - D. I. Go Pop	4.00 stars
4.00 stars	Sebadoh - Bakesale	3.50 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.00 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	3.50 stars
3.50 stars	Swans - Soundtracks for the Blind	2.50 stars
4.00 stars	Aphex Twin - Richard D. James Album	3.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	3.50 stars
4.00 stars	Godspeed You Black Emperor! - F♯A♯∞	3.50 stars
4.00 stars	Tortoise - TNT	3.00 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	5.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	5.00 stars
3.50 stars	Interpol - Turn On the Bright Lights	4.00 stars
3.50 stars	The Microphones - Mount Eerie	4.50 stars
3.50 stars	Four Tet - Rounds	3.50 stars
4.50 stars	Madvillain - Madvillainy	5.00 stars
5.00 stars	J Dilla - Donuts	4.50 stars
3.50 stars	Deerhoof - Friend Opportunity	4.00 stars
4.00 stars	Radiohead - In Rainbows	5.00 stars
4.00 stars	Burial - Untrue	4.00 stars
4.00 stars	Fleet Foxes - Fleet Foxes	3.50 stars
3.50 stars	Helvetia - Headless Machine of the Heart	3.50 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	4.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.00 stars
4.50 stars	Beach House - Teen Dream	3.50 stars
3.50 stars	Flying Lotus - Cosmogramma	4.00 stars
5.00 stars	Women - Public Strain	5.00 stars
5.00 stars	Connan Mockasin - Forever Dolphin Love	4.00 stars
4.00 stars	Grouper - A I A: Alien Observer	4.50 stars
3.50 stars	Death Grips - The Money Store	3.00 stars
3.50 stars	Telstar Drugs - Telstar Drugs	3.50 stars
4.00 stars	Faux Fur - Faux Fur	3.00 stars
3.50 stars	Julia Holter - Loud City Song	4.00 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	4.00 stars
4.00 stars	Mac DeMarco - Salad Days	3.50 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
4.00 stars	Telstar Drugs - Weather Underground	4.00 stars
3.50 stars	Iceage - Plowing Into the Field of Love	3.50 stars
3.00 stars	Algiers - Algiers	3.00 stars
3.50 stars	Mac DeMarco - Another One	3.00 stars
4.00 stars	Travis Scott - Rodeo	3.00 stars
4.00 stars	Julia Holter - Have You in My Wilderness	3.50 stars
4.00 stars	Palm - Trading Basics	4.00 stars
4.50 stars	Cindy Lee - Malenkost	3.50 stars
4.50 stars	Cindy Lee - Act of Tenderness	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
4.00 stars	Hellier Ulysses - Prime Example	3.00 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	4.00 stars
3.50 stars	Death Grips - Bottomless Pit	3.00 stars
3.50 stars	Radiohead - A Moon Shaped Pool	4.50 stars
4.00 stars	Angel Olsen - MY WOMAN	3.50 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.00 stars
3.50 stars	A Tribe Called Quest - We got it from Here… Thank You 4 Your service	4.00 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.50 stars
3.50 stars	Mac DeMarco - This Old Dog	3.50 stars
3.00 stars	Palm - Shadow Expert	4.00 stars
4.50 stars	Tyler, the Creator - Flower Boy	4.50 stars
4.50 stars	Protomartyr - Relatives in Descent	4.00 stars
3.50 stars	King Krule - The Ooz	3.50 stars
4.00 stars	JPEGMAFIA - Veteran	3.00 stars
3.00 stars	Against All Logic - 2012 - 2017	4.00 stars
3.00 stars	Park Jiha - Communion	2.50 stars
3.00 stars	The Voidz - Virtue	4.00 stars
4.00 stars	Beach House - 7	3.50 stars
4.00 stars	Pusha T - DAYTONA	3.50 stars
3.00 stars	Death Grips - Year of the Snitch	2.50 stars
4.00 stars	Little Simz - Grey Area	4.00 stars
3.50 stars	Tyler, the Creator - Igor	3.50 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
4.00 stars	Duster - Duster	4.50 stars
3.00 stars	Murcof - Martes	4.00 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	3.50 stars
3.00 stars	Omni - Multi-Task	3.00 stars
4.00 stars	Oneohtrix Point Never - Replica	3.50 stars
4.00 stars	Ought - Sun Coming Down	4.00 stars
3.50 stars	Ought - Room Inside the World	3.00 stars
3.50 stars	Palm - Rock Island	2.50 stars
4.00 stars	Viet Cong - Viet Cong	3.00 stars
4.00 stars	Radiohead - OK Computer	4.00 stars
4.00 stars	Radiohead - Kid A	4.50 stars
3.50 stars	Steve Reich - Music for 18 Musicians	3.50 stars
3.50 stars	Shellac - 1000 Hurts	3.50 stars
3.50 stars	Sleaford Mods - Key Markets	2.50 stars
4.00 stars	The Smiths - The Queen Is Dead	3.50 stars
3.50 stars	The Sonic Youth - Sister	4.00 stars
3.50 stars	SOPHIE - Oil of Every Pearl's Un-Insides	3.50 stars
3.50 stars	Talking Heads - Remain in Light	3.50 stars
4.00 stars	Thinking Fellers Union Local 282 - I Hope It Lands	3.00 stars
3.00 stars	U.S. Girls - In a Poem Unlimited	3.00 stars
4.00 stars	Chad VanGaalen - Diaper Island	3.50 stars
3.50 stars	A Winged Victory for the Sullen - A Winged Victory for the Sullen	4.00 stars
rental and Doccy_N disagree: (26)
rental	Album	Doccy_N
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	5.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	3.50 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	5.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	5.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	3.00 stars
4.00 stars	Television - Marquee Moon	2.50 stars
4.50 stars	Wire - Pink Flag	2.00 stars
5.00 stars	Mission of Burma - Vs.	2.50 stars
3.50 stars	Slowdive - Souvlaki	5.00 stars
3.00 stars	Fishmans - Long Season	5.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	5.00 stars
3.50 stars	Duster - Stratosphere	5.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	2.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	5.00 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	4.50 stars
3.00 stars	Grizzly Bear - Yellow House	4.50 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	1.50 stars
4.50 stars	Deerhunter - Halcyon Digest	3.00 stars
4.50 stars	Androgynous Mind - Nightstalker	1.50 stars
4.00 stars	Un Blonde - Tenet	2.50 stars
5.00 stars	Frank Ocean - Blonde	3.50 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	4.50 stars
2.50 stars	George Clanton - Slide	4.50 stars
3.50 stars	Oxbow - Thin Black Duke	1.50 stars
4.00 stars	Red Sea - Yardsticks for Human Intelligence	2.00 stars
4.00 stars	U.S. Maple - Long Hair in Three Stages	1.50 stars